,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
1,flin flon,54.77,10.4,78.0,75.0,4.7
2,upernavik,72.79,23.7,100.0,68.0,8.77
3,westport,53.8,46.4,93.0,75.0,10.29
4,butaritari,3.07,81.16,100.0,64.0,14.47
5,yenagoa,4.92,77.61,73.0,0.0,7.54
6,aswan,24.09,50.7,96.0,0.0,4.74
7,atuona,-9.8,81.3,99.0,44.0,19.84
8,bathsheba,13.22,84.2,58.0,20.0,18.34
9,platteville,42.73,26.6,66.0,40.0,9.17
10,cape town,-33.93,64.4,82.0,75.0,6.93
11,puerto ayora,-0.74,80.6,57.0,75.0,19.46
12,saposoa,-6.93,62.6,290.0,40.0,9.17
13,busselton,-33.64,54.66,100.0,0.0,4.74
14,rikitea,-23.12,78.51,100.0,32.0,10.0
16,ushuaia,-54.81,61.39,63.0,75.0,34.45
17,mataura,-46.19,60.01,66.0,8.0,4.97
18,carnarvon,-30.97,65.46,21.0,92.0,11.56
19,bredasdorp,-34.53,62.6,88.0,92.0,1.12
20,conde,-11.81,79.0,91.0,24.0,6.2
21,chapais,49.78,23.0,85.0,90.0,8.05
22,saskylakh,71.97,-0.29,77.0,76.0,8.77
23,punta arenas,-53.16,63.55,59.0,40.0,29.97
24,chokurdakh,70.62,-29.5,49.0,20.0,2.95
25,tuatapere,-46.13,58.39,86.0,24.0,5.75
26,coihaique,-45.58,74.41,34.0,0.0,4.7
27,buchanan,5.88,80.6,88.0,75.0,7.2
28,burnie,-41.05,65.23,82.0,24.0,5.41
29,crixas,-14.55,77.25,94.0,92.0,3.18
30,lima,-12.06,75.2,69.0,0.0,11.41
31,iquique,-20.22,73.4,53.0,20.0,19.46
32,acapulco,16.86,87.8,66.0,20.0,5.82
34,palafrugell,41.92,50.0,100.0,20.0,3.74
36,tautira,-17.73,86.0,66.0,75.0,18.34
37,vila velha,-3.71,84.2,74.0,40.0,9.17
38,bambous virieux,-20.34,75.2,88.0,20.0,4.7
39,bluff,-23.58,71.85,70.0,76.0,14.47
40,isangel,-19.55,78.33,100.0,92.0,23.87
41,hilo,19.71,75.92,58.0,20.0,4.7
42,ahipara,-35.17,64.06,80.0,0.0,8.55
43,codrington,-28.95,63.28,87.0,75.0,6.93
44,hermanus,-34.42,61.5,66.0,92.0,9.78
45,campo maior,39.01,51.8,93.0,0.0,0.04
46,saint-philippe,45.36,31.32,80.0,75.0,4.7
47,lebu,8.96,44.62,78.0,8.0,4.18
48,avarua,-21.21,82.4,58.0,40.0,8.05
49,meadow lake,54.13,15.8,78.0,20.0,16.11
50,tulum,20.21,80.6,74.0,75.0,9.17
51,nikolskoye,59.7,33.8,97.0,75.0,8.95
52,santa isabel do rio negro,-0.41,84.31,76.0,20.0,3.18
53,jinchang,38.52,-5.42,67.0,20.0,3.06
54,new norfolk,-42.78,69.8,46.0,0.0,12.75
55,isabela,10.2,75.31,97.0,44.0,3.06
56,jamestown,-33.21,77.92,29.0,56.0,12.46
57,ruidoso,33.33,58.95,35.0,40.0,24.16
58,provideniya,64.42,12.2,78.0,90.0,31.32
59,charleston,38.35,37.65,61.0,75.0,9.17
60,monrovia,6.33,80.6,88.0,75.0,8.1
61,albany,42.65,34.56,47.0,75.0,13.87
62,kijang,35.24,41.0,56.0,0.0,11.41
65,barrow,-38.31,60.78,48.0,8.0,8.21
67,nome,30.04,58.24,77.0,90.0,8.05
68,tasiilaq,65.61,19.4,62.0,5.0,2.24
69,east london,-33.02,72.43,100.0,20.0,9.22
70,gat,14.69,80.6,42.0,0.0,9.17
71,khatanga,71.98,-3.35,77.0,92.0,12.46
72,kapaa,22.08,78.53,60.0,40.0,13.02
73,mar del plata,-46.43,83.5,25.0,12.0,2.95
74,hamilton,32.3,66.2,45.0,75.0,11.41
75,narsaq,60.91,22.8,83.0,88.0,4.63
76,ahuimanu,21.44,76.71,60.0,1.0,6.93
77,kaeo,-35.1,66.0,62.0,0.0,9.1
78,cachoeira do sul,-30.05,75.04,61.0,32.0,5.97
79,vaini,15.34,66.58,91.0,56.0,2.51
80,fethiye,36.62,55.4,43.0,75.0,23.04
83,manado,1.49,77.0,94.0,40.0,2.24
84,dwarka,28.58,55.4,82.0,20.0,2.73
85,bodaybo,57.85,-25.63,36.0,48.0,2.17
86,luang prabang,19.89,63.34,98.0,64.0,1.72
87,vitim,59.44,-21.44,61.0,64.0,7.76
88,port alfred,-33.59,71.62,90.0,92.0,12.68
89,lompoc,34.64,58.86,90.0,90.0,3.36
91,offa,7.97,72.79,48.0,0.0,3.06
92,lasa,34.92,54.73,93.0,40.0,3.36
93,noumea,-22.28,71.6,100.0,75.0,6.93
95,zambezi,-13.55,72.03,74.0,24.0,4.63
97,qaanaaq,77.48,7.5,100.0,76.0,2.62
99,fairbanks,64.84,6.96,91.0,20.0,1.5
100,georgetown,6.8,87.8,58.0,40.0,11.41
101,ostrovnoy,68.05,26.76,93.0,80.0,18.84
102,valparaiso,41.47,30.7,84.0,20.0,9.17
103,plouzane,48.38,53.6,100.0,90.0,17.22
104,esperance,10.24,86.0,55.0,20.0,12.75
105,aksu,52.04,-5.81,76.0,0.0,6.71
